line_id,bus0,bus1,type,voltage,s_nom,length,geometry
IN_line_4,way/315823978-765,IN684-765,IN684-765;way/315823978-765,765.0,11024.15698001439,287467.61,
IN_line_3,way/353914865-765,IN684-765,IN684-765;way/353914865-765,765.0,11024.15698001439,387094.43,
IN_line_8,way/1143180503-765,way/369866141-765,way/1143180503-765;way/369866141-765,765.0,11024.15698001439,323447.55,
IN_line_9,way/1143180503-765,way/372701897-765,way/1143180503-765;way/372701897-765,765.0,11024.15698001439,392854.66,
IN_line_7,way/420797421-765,way/1143180503-765,way/1143180503-765;way/420797421-765,765.0,11024.15698001439,239646.07,
IN_line_24,way/201845280-765,way/209826798-765,way/201845280-765;way/209826798-765,765.0,11024.15698001439,211886.58,
IN_line_15,way/201845280-765,way/293597835-765,way/201845280-765;way/293597835-765,765.0,11024.15698001439,393802.71,
IN_line_18,way/315823978-765,way/201845280-765,way/201845280-765;way/315823978-765,765.0,22048.31396002878,308560.07000000007,
IN_line_38,way/331275940-765,way/201845280-765,way/201845280-765;way/331275940-765,765.0,5512.078490007195,257010.41,
IN_line_16,way/201845280-765,way/353914865-765,way/201845280-765;way/353914865-765,765.0,33072.47094004317,355176.49000000005,
IN_line_17,way/201845280-765,way/420797421-765,way/201845280-765;way/420797421-765,765.0,11024.15698001439,320223.02,
IN_line_20,way/203673991-400,way/311118424-765,way/203673991-400;way/311118424-765,400.0,10724.858600466492,221727.85,
IN_line_25,way/209826798-765,way/331275940-765,way/209826798-765;way/331275940-765,765.0,16536.235470021584,277173.44999999995,
IN_line_26,way/209826798-765,way/369866141-765,way/209826798-765;way/369866141-765,765.0,11024.15698001439,217191.4,
IN_line_14,way/209826798-765,way/420797421-765,way/209826798-765;way/420797421-765,765.0,11024.15698001439,265637.88,
IN_line_30,way/293597835-765,way/315823978-765,way/293597835-765;way/315823978-765,765.0,11024.15698001439,181276.86,
IN_line_32,way/386153973-765,way/293597835-765,way/293597835-765;way/386153973-765,765.0,11024.15698001439,345373.87,
IN_line_22,way/353914865-765,way/311118424-765,way/311118424-765;way/353914865-765,765.0,11024.15698001439,344524.155,
IN_line_28,way/311118424-765,way/420797421-765,way/311118424-765;way/420797421-765,765.0,16536.235470021584,280824.53,
IN_line_23,way/759521252-765,way/311118424-765,way/311118424-765;way/759521252-765,765.0,14599.109846836554,247428.93738041003,
IN_line_37,way/315823978-765,way/386153973-765,way/315823978-765;way/386153973-765,765.0,33072.47094004317,169467.6666666667,
IN_line_41,way/688672711-765,way/331275940-765,way/331275940-765;way/688672711-765,765.0,33072.47094004317,272325.5766666666,
IN_line_19,way/353914865-765,way/420797421-765,way/353914865-765;way/420797421-765,765.0,11024.15698001439,311913.99,
IN_line_27,way/420797421-765,way/369866141-765,way/369866141-765;way/420797421-765,765.0,11024.15698001439,173092.89,
IN_line_6,way/372701897-765,way/420797421-765,way/372701897-765;way/420797421-765,765.0,5512.078490007195,313492.75,
